Quantity,Description,Part Designators,Digikey Part Number,Manufacturer Name,Manufacturer Part Number,Comments
1,3.3K 5% 1/10W 0603,R2,311-3.3KGRCT-ND,Yageo,RC0603JR-073K3L,
1,10K 5%  1/10W 0603,R3,311-10KGRCT-ND,Yageo,RC0603JR-0710KL,
2,0.1uf ceramic 10% 25V 0603,C3  C4,311-1344-1-ND,Yageo,CC0603KRX7R9BB104,
1,LED Red 0603,D1,475-2512-1-ND,OSRAM Opto Semiconductors Inc.,LS Q976-NR-1,
1,Micro USB connector,J1,H11611CT-ND,ZX62RD-AB-5P8,Hirose Electric Co Ltd,
1,Trimpot 10K,R1,987-1167-ND,TT Electronics/BI,91AR10KLF,
1,ATMEGA328P TQFP32,U1,ATMEGA328P-AURCT-ND,Atmel,ATMEGA328P-AUR,
1,Resonator 16Mhz w/caps,Q1,535-10008-1-ND,Abracon LLC,AWSCR-16.00CV-T,
1,ULN2003A  SOIC,U2,296-1368-1-ND,Texas Instruments,ULN2003ADR,
2,Push Button,S1  S2,P8014S-ND,Panasonic Electronic Components,EVQ-PBC05R,
2,Tantalum cap 10uF 10%  16V 1206,C1  C2,399-3684-1-ND,Kemet,T491A106K010AT,
