Designator,Mid X,Mid Y,Rotation,Layer
J1_8,87.6808,-107.8254,0.0,top
J1_7,87.6808,-60.1218,0.0,top
J1_6,87.63,-126.3142,0.0,top
J1_5,87.6808,-87.6247,0.0,top
J1_4,87.6808,-68.5292,0.0,top
J1_3,87.6808,-98.7108,0.0,top
J1_2,87.6808,-116.8908,0.0,top
J1,87.69,-77.5708,0.0,top
J10_6,113.686,-105.5784,0.0,top
J10_5,113.7158,-118.6,0.0,top
J10_4,113.7158,-79.9084,0.0,top
J10_3,113.7158,-92.583,0.0,top
J10_2,113.7158,-55.0418,0.0,top
J10,113.7158,-67.2084,0.0,top
J11_6,113.7158,-82.4484,0.0,top
J11_5,113.7158,-95.123,0.0,top
J11_4,113.7158,-57.5818,0.0,top
J11_3,113.7158,-69.7484,0.0,top
J11_2,113.7158,-121.14,0.0,top
J11,113.686,-108.1184,0.0,top
J12_6,113.686,-110.6584,0.0,top
J12_5,113.7158,-60.1218,0.0,top
J12_4,113.7158,-84.9884,0.0,top
J12_3,113.7158,-97.663,0.0,top
J12_2,113.7158,-72.2884,0.0,top
J12,113.7158,-123.68,0.0,top
J13_6,113.686,-113.1984,0.0,top
J13_5,113.7158,-87.5284,0.0,top
J13_4,113.7158,-62.6618,0.0,top
J13_3,113.7158,-74.8284,0.0,top
J13_2,113.7158,-100.203,0.0,top
J13,113.7158,-126.22,0.0,top
J14_7,92.075,-121.2342,0.0,top
J14_6,92.075,-64.5668,0.0,top
J14_5,92.075,-95.7326,0.0,top
J14_4,92.075,-107.061,0.0,top
J14_3,92.075,-55.0418,0.0,top
J14_2,92.075,-74.7776,0.0,top
J14,92.075,-84.9376,0.0,top
J15_7,92.075,-98.2726,0.0,top
J15_6,92.075,-57.5818,0.0,top
J15_5,92.075,-109.601,0.0,top
J15_4,92.075,-123.7742,0.0,top
J15_3,92.075,-77.3176,0.0,top
J15_2,92.075,-87.4776,0.0,top
J15,92.075,-67.1068,0.0,top
J16_7,92.075,-112.141,0.0,top
J16_6,92.075,-126.3142,0.0,top
J16_5,92.075,-69.6468,0.0,top
J16_4,92.075,-90.0176,0.0,top
J16_3,92.075,-79.8576,0.0,top
J16_2,92.075,-60.1218,0.0,top
J16,92.075,-100.8126,0.0,top
J17_7,98.425,-74.7776,0.0,top
J17_6,98.425,-121.2342,0.0,top
J17_5,98.425,-55.0418,0.0,top
J17_4,98.425,-95.7326,0.0,top
J17_3,98.425,-84.9376,0.0,top
J17_2,98.425,-64.5668,0.0,top
J17,98.425,-107.061,0.0,top
J18_7,98.425,-109.601,0.0,top
J18_6,98.425,-57.5818,0.0,top
J18_5,98.425,-77.3176,0.0,top
J18_4,98.425,-98.2726,0.0,top
J18_3,98.425,-123.7742,0.0,top
J18_2,98.425,-87.4776,0.0,top
J18,98.425,-67.1068,0.0,top
J19_7,98.425,-100.8126,0.0,top
J19_6,98.425,-126.3142,0.0,top
J19_5,98.425,-79.8576,0.0,top
J19_4,98.425,-60.1218,0.0,top
J19_3,98.425,-69.6468,0.0,top
J19_2,98.425,-90.0176,0.0,top
J19,98.425,-112.141,0.0,top
J2_8,87.69,-72.4908,0.0,top
J2_7,87.6808,-82.5447,0.0,top
J2_6,87.6808,-63.4492,0.0,top
J2_5,87.6808,-55.0418,0.0,top
J2_4,87.6808,-93.6308,0.0,top
J2_3,87.63,-121.2342,0.0,top
J2_2,87.6808,-102.7454,0.0,top
J2,87.6808,-111.8108,0.0,top
J20_6,118.8466,-79.1718,0.0,top
J20_5,118.8466,-55.1434,0.0,top
J20_4,118.8466,-67.1068,0.0,top
J20_3,118.8466,-118.745,0.0,top
J20_2,118.8466,-106.32,0.0,top
J20,118.8466,-92.8116,0.0,top
J21_6,118.8466,-81.7118,0.0,top
J21_5,118.8466,-57.6834,0.0,top
J21_4,118.8466,-69.6468,0.0,top
J21_3,118.8466,-108.86,0.0,top
J21_2,118.8466,-95.3516,0.0,top
J21,118.8466,-121.285,0.0,top
J22_6,118.8466,-123.825,0.0,top
J22_5,118.8466,-111.4,0.0,top
J22_4,118.8466,-60.2234,0.0,top
J22_3,118.8466,-97.8916,0.0,top
J22_2,118.8466,-84.2518,0.0,top
J22,118.8466,-72.1868,0.0,top
J23_6,118.8466,-62.7634,0.0,top
J23_5,118.8466,-126.365,0.0,top
J23_4,118.8466,-74.7268,0.0,top
J23_3,118.8466,-86.7918,0.0,top
J23_2,118.8466,-100.4316,0.0,top
J23,118.8466,-113.94,0.0,top
J24_6,129.0066,-118.745,0.0,top
J24_5,129.0066,-55.1434,0.0,top
J24_4,129.0066,-67.1068,0.0,top
J24_3,129.0066,-106.32,0.0,top
J24_2,129.0066,-79.1718,0.0,top
J24,129.0066,-92.8116,0.0,top
J25_6,129.0066,-81.7118,0.0,top
J25_5,129.0066,-95.3516,0.0,top
J25_4,129.0066,-57.6834,0.0,top
J25_3,129.0066,-69.6468,0.0,top
J25_2,129.0066,-121.285,0.0,top
J25,129.0066,-108.86,0.0,top
J26_6,129.0066,-123.825,0.0,top
J26_5,129.0066,-97.8916,0.0,top
J26_4,129.0066,-72.1868,0.0,top
J26_3,129.0066,-111.4,0.0,top
J26_2,129.0066,-60.2234,0.0,top
J26,129.0066,-84.2518,0.0,top
J27_6,129.0066,-86.7918,0.0,top
J27_5,129.0066,-126.365,0.0,top
J27_4,129.0066,-74.7268,0.0,top
J27_3,129.0066,-113.94,0.0,top
J27_2,129.0066,-62.7634,0.0,top
J27,129.0066,-100.4316,0.0,top
J28_5,133.4008,-70.9168,0.0,top
J28_4,133.4008,-55.0418,0.0,top
J28_3,133.4008,-86.7918,0.0,top
J28_2,133.4008,-116.205,0.0,top
J28,133.4008,-102.0318,0.0,top
J29_5,133.4008,-104.5718,0.0,top
J29_4,133.4008,-118.745,0.0,top
J29_3,133.4008,-73.4568,0.0,top
J29_2,133.4008,-89.3318,0.0,top
J29,133.4008,-57.5818,0.0,top
J3_8,82.6008,-96.1708,0.0,top
J3_7,82.6008,-114.3508,0.0,top
J3_6,82.61,-75.0308,0.0,top
J3_5,82.6008,-65.9892,0.0,top
J3_4,82.55,-123.7742,0.0,top
J3_3,82.6008,-105.2854,0.0,top
J3_2,82.6008,-57.5818,0.0,top
J3,82.6008,-85.0847,0.0,top
J30_5,133.4008,-107.1118,0.0,top
J30_4,133.4008,-91.8718,0.0,top
J30_3,133.4008,-121.285,0.0,top
J30_2,133.4008,-60.1218,0.0,top
J30,133.4008,-75.9968,0.0,top
J31_5,133.4008,-109.6518,0.0,top
J31_4,133.4008,-123.825,0.0,top
J31_3,133.4008,-94.4118,0.0,top
J31_2,133.4008,-78.5368,0.0,top
J31,133.4008,-62.6618,0.0,top
J32_5,133.4008,-81.0768,0.0,top
J32_4,133.4008,-126.365,0.0,top
J32_3,133.4008,-112.1918,0.0,top
J32_2,133.4008,-65.2018,0.0,top
